"Default Code","Name","Code","Class Groups","MRCGID"
"08A G","PASEYear8","PASEYR8","3","{37FD0E41-D599-4491-AF8D-123EF60127E0}"
"12 K","DED","DED","2","{CF0BB4C5-49E3-4A9F-A239-EFFBEC76CC9B}"
"08D E","EAL/LAN7&8D","EAL/LAN7&8D","2","{1D8D954F-7AA5-4EDE-9090-BBBD0E5CF02A}"
"08A F","8A8CPED","8A8CPED","2","{A071799C-7D48-44D5-866A-138D56C5BA2D}"
"12 A","1","","3","{10DA4B4A-CB2F-44C8-8157-168B23E4C5FC}"
"12 B","2","","3","{91661EF6-B96D-4005-85B7-31ED7A95609A}"
"10 J","Connect Year 9","CCT09","7","{DC861EF0-3515-40A0-B032-650AEDEF9D1D}"
"12 C","3","","3","{ED30BF67-E1C8-4C58-A2B6-B0C6B9B42BAB}"
"12 D","4","","3","{A6A57C1F-1B2F-40FF-BA85-0421E1739C1F}"
"12 F","5","","3","{D814E3C8-9CDB-42B0-A257-CEF0238C91BF}"
"07A G","PASE Year7A-C","PASE07","3","{2989BFE3-6EE4-4691-9DD0-E33CAD0DD150}"
"09A H","1","","6","{E4779820-F224-4354-B1AF-9C8B7C273252}"
"12 I","6","","3","{61A4698A-023F-4DC7-89FC-94512FA5CBC0}"
"12 H","6","","3","{88F032FA-723F-4806-92A7-CCFBBE44D51A}"
"12 G","BL6Yr12&BL2Yr9","BL6Yr12&BL2Yr9","9","{B317E0E7-9FAF-4680-ABC3-FF83F40924CB}"
"12 E","4","","3","{49977605-3E58-4943-AC44-87F6E482EF2C}"
