"Roll Class Code","Roll Class Name","Year Level Code","RollClassGuid"
"VCESUP","VCESUP","","{BC8C9A7A-BEA6-444B-9935-BA93A201B38E}"
"ELC","English Language Centre","ELC","{E14458A9-9B7D-4CF7-9A0C-9A94A2FC06DB}"
"12VM","12VM","12","{D91C3BED-D749-40E6-9295-B618DA8DC68F}"
"11VM","11VM","11","{5492A4C1-77D9-4512-A764-A210DB020809}"
"12","12","12","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}"
"11","11","11","{AE28971E-86C1-44A9-9D49-A6EB73F58A26}"
"10","10","10","{62FD1306-90BA-49E6-AAFA-DED12293B54F}"
"09A","09A","09","{9E98A713-DB5E-4635-9E01-5E806A84E69E}"
"09B","09B","09","{1DC5C527-5B93-48B9-8983-1D45AADF3EE6}"
"09C","09C","09","{2261670E-7770-4C95-AB9A-542BAAB2CA77}"
"09D","09D","09","{D92C2579-E3F9-4D43-851B-BE75BD7310D9}"
"09E","09E","09","{76B07725-41DD-4DB2-9394-412B7B4E5DC5}"
"09F","09F","09","{C0F321E4-0F95-4654-A509-D69885D18225}"
"08A","08A","08","{17353407-0819-4171-ADC1-35FF242E424D}"
"08B","08B","08","{B5B90914-31D9-4030-8EB4-43B8B87E5A91}"
"08C","08C","08","{3BEDAC30-377B-4E20-8832-41B665A502A7}"
"08D","08D","08","{E63F8436-5868-4661-BBED-9E0AEF33022C}"
"08E","08E","08","{E477967C-3C42-4555-9198-34EC70D2D714}"
"07A","07A","07","{AD327835-87F1-44A8-B4E4-8E3CEBA289C5}"
"07B","07B","07","{A782D0B0-F9B5-4E43-9947-4ADC88459320}"
"07C","07C","07","{6DB6C081-D387-409A-8C64-69DCEBBDBEC2}"
"07D","07D","07","{7F224049-FCB8-409E-95B6-A6054233C99E}"
"07E","07E","07","{BA1424B2-64DB-45F1-8338-FA880A54B64B}"
"LATESUP","Late Support","ALL","{A408264A-4987-4B58-9A83-F226F110C9FB}"
