"Year Level Code","YearLevelGuid"
"12VM","{8A286C00-AD5B-4A78-9FD4-C61BA0E49E2E}"
"11VM","{417DC45D-E000-43B7-9188-E32B0DEAAE01}"
"12","{FD9CF701-ED3A-4D0A-9B5A-D73AB4C46D35}"
"11","{79E0F816-D32C-4DB3-8F07-40CBE4388A6C}"
"10","{FDA8874B-5F73-43EF-B225-3AA4F2841B91}"
"ELC","{133D7116-FF4B-4AEC-8195-2130A083C6B3}"
"09","{AAEBE412-B387-48C6-B832-D8AB6676678F}"
"08","{9FF02F23-A372-493D-A62D-197A85391594}"
"07","{8FFAE5C5-81BD-4D9D-BE71-4D6A487C0FCA}"
"ALL","{CE22843F-7648-4F40-A6CE-E0620533DADB}"
